system,question_id,answer_type,difficulty,is_unanswerable,is_multi_doc,score_mean,score_std,error_rate
S1,00957d62e7648173d04346496df2306addcc8e2842fabcd44244c466f4189b9f,number,easy,False,False,1.0,0.0,0.0
S1,07b32c626efd2cf7b1689f3a339d5bee4e0feb575126b511a88c0852edaf32c5,free_text,hard,False,True,0.2,0.0,1.0
S1,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,name,hard,True,False,0.0,0.0,1.0
S1,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,number,easy,False,False,0.0,0.0,1.0
S1,1207dcc85ca96d11158351ead9ffc5260f053375fd4b18cfdb81b5e9c6d2bb61,boolean,hard,False,True,1.0,0.0,0.0
S1,17bfa386a1f22d295d3ee717aae19a749af280616a875eade14b102a23dd9244,boolean,hard,False,True,0.0,0.0,1.0
S1,1b67d805e6c51673736ef61f9ec1c390fdd4f2706d48a360e380110d720c0339,name,easy,False,False,1.0,0.0,0.0
S1,1ce38b389439bacc237e4716d1e238b03b9c1f6e5c36bb1443d5590d0d87e52e,free_text,medium,False,False,0.4,0.0,1.0
S1,1d356814de25d5623275b9b1de2113fcebf2002ff4199294cdaaf10641257242,free_text,medium,False,False,1.0,0.0,0.0
S1,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,date,easy,False,False,0.0,0.0,1.0
S1,32868c181e4d6b0ba34eb6fc0817c70169f81619213ac77c689492d92414efaf,boolean,easy,False,False,1.0,0.0,0.0
S1,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,names,medium,False,False,0.0,0.0,1.0
S1,40d44b27dfc1a92be0df9d8909bdadeece97c7390798beebcbdca6fe87e88f35,names,easy,False,False,1.0,0.0,0.0
S1,42d7232debc717df1e310885e921a6aaa06208907bc1da0c7d4c61ac4fd0098a,boolean,medium,False,False,1.0,0.0,0.0
S1,4e0cd66faaafc0395fd07654a3817c1f7f26fb6aed7f8cd88c0f493024692857,date,hard,False,True,0.0,0.0,1.0
S1,502a270a2eed204fdef12d658ff290cb38cc8747ab7ea950ea61c128176446ae,names,hard,False,True,0.0,0.0,1.0
S1,5877c6811eb496b26d3322a027b7d19f3d13f8623454f94c982b7e1d8c3e89ae,number,easy,False,False,1.0,0.0,0.0
S1,5d94b33f61bae17b9fc3bf1448b9a352a89cf879fd47cc423c385e5bd11942ed,free_text,medium,False,False,0.2,0.0,1.0
S1,64210e41fb4ea2bbe5f40ecd11ffd475652e3163261c32186c01b9073124e1d7,names,medium,False,False,0.75,0.0,1.0
S1,68747d99590804fb4ee222ed72dea34ad4e25db553fc8005c357efa83e76cfb8,boolean,easy,False,False,1.0,0.0,0.0
S1,734931901ce2900c33d80c0b611d8fb37c457e25b6e0529e0d26f2dc97bc2c32,free_text,medium,False,False,1.0,0.0,0.0
S1,7710644a88fa1b4492a462d0527ca39733db6a1219ba05b957b9ea814ed0fe89,number,easy,False,False,1.0,0.0,0.0
S1,7bee2a70fcd7ecdd169ca34c3bc71d3950404ac3d54bc5b9442114b228b914fb,boolean,hard,False,True,1.0,0.0,0.0
S1,85f22f4a05069be55342520d29729115be22263a06ddd865e3b609baacad3029,date,easy,False,False,0.0,0.0,1.0
S1,88fa316b322107dabdbb5d642ae6296b968369e810eaf2da5759584dc560e9c0,boolean,easy,False,False,1.0,0.0,0.0
S1,8c8eeeeba7a6c1eace5f993e5fd5ee0eb331443fc937cff46c5da06698c7c0ef,name,easy,True,False,0.0,0.0,1.0
S1,9093940a7c2ff4a962020858d13c35be648aaf3b958b2beaee548d1ff0862a8b,boolean,easy,False,False,1.0,0.0,0.0
S1,99eee91b133b2896308860a303fc852fd48975969168cc17059af519d9db9ceb,boolean,medium,False,False,1.0,0.0,0.0
S1,9b979082c31ae4ad36f857eab9a6e3dbc1404128e7467f6ebc52687ba6e4bfc1,free_text,medium,False,False,1.0,0.0,0.0
S1,a51f259bf9869da02936142f36678193dd9e93988f339dc7ea2a21879d9d1870,number,hard,False,True,0.0,0.0,1.0
S1,a73a4fa484db325f96c907f5763845cef3cb9cde1b5b201ddecc34ba8d4738e1,name,medium,False,False,0.0,0.0,1.0
S1,ab613bfda1fe56340fafa1adda8f9d70a5bda4aed58fd521d5069c74c8c0f8da,name,easy,False,False,0.0,0.0,1.0
S1,ae3b2d0d754b0ed6345e6b1ecfb795011a0186a157942b5e3c8a8da6474b34f5,name,easy,False,False,1.0,0.0,0.0
S1,afe73d351c5b5f5bdfc97cd7b456d60962a46f2d0eea6f46e7782e984165c03d,name,easy,False,False,1.0,0.0,0.0
S1,b1eb96688844a90f3e9e8ff9ef992d06eae3a6766d9259e961608e561403def6,free_text,medium,False,False,0.6,0.0,1.0
S1,bd861029417eaa91fb3a4b5fe64189b8c6133fc9a8d9231c1ab8537749fb58cd,boolean,medium,False,False,1.0,0.0,0.0
S1,bf7e0ebf84229c956c1154a4d1386ed4b887fc9fc8191ef518ece6c115d182db,free_text,easy,False,False,0.8,0.0,1.0
S1,c2d4d742dbc859eb1f262b53a315124fd1a063752794cf81aa9ca4e4862ab6b6,boolean,medium,True,False,0.0,0.0,1.0
S1,c5c7eddacc461ebbf67e6b1dff474512ccdf8bd1ef8ddf88a305fd961330b26e,free_text,medium,False,False,1.0,0.0,0.0
S1,c8bd14fd89c211485a2181de90704867a936e5c094247bf7fed909e6db36528f,date,easy,False,False,1.0,0.0,0.0
S1,d0fa21fb6d676b69e9cddd85cd137c298c43172d50a15aa66badd51ca3a0a8eb,number,easy,False,False,1.0,0.0,0.0
S1,d6ad26d8bc7b0c6450666032169cb2e69554283c92c216acef0ce5b8edd5d0e3,boolean,easy,False,False,1.0,0.0,0.0
S1,d859a045e515e7290174ed1aced15d8527b85f0e4c569d4630dfa521f528d79c,names,hard,False,True,0.5,0.0,1.0
S1,dbb3c7a752d90dc1d9b3bae020014a71c1acaab22b856be728834dfa1cc47726,free_text,medium,False,False,0.4,0.0,1.0
S1,df1e3124c44330d699ce9a1c01d670a0691158455b57156a948ce044980dbf44,free_text,medium,False,False,1.0,0.0,0.0
S1,e0ba7275a0c7a10725681d4c15c6c5045e5b3ac9f76d168d5568084bddbc5759,number,easy,False,False,1.0,0.0,0.0
S1,e1f33d725fd31d285e8c38588e2894cd6c583bf806d53cf816f467bc68ad55c9,free_text,medium,False,False,1.0,0.0,0.0
S1,e821a2bc1919a828d26dbef0ae9c234e8cecce49c9ded70e6193a56837d37f54,name,easy,False,False,1.0,0.0,0.0
S1,ec695ce27695363186cb118ca3fa723c66869c6f9dbc834950c33562d67c3eec,free_text,easy,False,False,1.0,0.0,0.0
S1,f2366d2d2cc2a2dab585b0c6681b04fcb1af8b46422c4fbe6a9126ae56c6fe8a,date,easy,False,False,0.0,0.0,1.0
S2,00957d62e7648173d04346496df2306addcc8e2842fabcd44244c466f4189b9f,number,easy,False,False,0.0,0.0,1.0
S2,07b32c626efd2cf7b1689f3a339d5bee4e0feb575126b511a88c0852edaf32c5,free_text,hard,False,True,0.13333333333333333,0.11547005383792516,1.0
S2,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,name,hard,True,False,0.0,0.0,1.0
S2,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,number,easy,False,False,0.0,0.0,1.0
S2,1207dcc85ca96d11158351ead9ffc5260f053375fd4b18cfdb81b5e9c6d2bb61,boolean,hard,False,True,1.0,0.0,0.0
S2,17bfa386a1f22d295d3ee717aae19a749af280616a875eade14b102a23dd9244,boolean,hard,False,True,1.0,0.0,0.0
S2,1b67d805e6c51673736ef61f9ec1c390fdd4f2706d48a360e380110d720c0339,name,easy,False,False,0.0,0.0,1.0
S2,1ce38b389439bacc237e4716d1e238b03b9c1f6e5c36bb1443d5590d0d87e52e,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,1d356814de25d5623275b9b1de2113fcebf2002ff4199294cdaaf10641257242,free_text,medium,False,False,0.3333333333333333,0.11547005383792516,1.0
S2,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,date,easy,False,False,0.0,0.0,1.0
S2,32868c181e4d6b0ba34eb6fc0817c70169f81619213ac77c689492d92414efaf,boolean,easy,False,False,0.0,0.0,1.0
S2,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,names,medium,False,False,0.0,0.0,1.0
S2,40d44b27dfc1a92be0df9d8909bdadeece97c7390798beebcbdca6fe87e88f35,names,easy,False,False,0.0,0.0,1.0
S2,42d7232debc717df1e310885e921a6aaa06208907bc1da0c7d4c61ac4fd0098a,boolean,medium,False,False,1.0,0.0,0.0
S2,4e0cd66faaafc0395fd07654a3817c1f7f26fb6aed7f8cd88c0f493024692857,date,hard,False,True,0.0,0.0,1.0
S2,502a270a2eed204fdef12d658ff290cb38cc8747ab7ea950ea61c128176446ae,names,hard,False,True,0.0,0.0,1.0
S2,5877c6811eb496b26d3322a027b7d19f3d13f8623454f94c982b7e1d8c3e89ae,number,easy,False,False,0.0,0.0,1.0
S2,5d94b33f61bae17b9fc3bf1448b9a352a89cf879fd47cc423c385e5bd11942ed,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,64210e41fb4ea2bbe5f40ecd11ffd475652e3163261c32186c01b9073124e1d7,names,medium,False,False,0.0,0.0,1.0
S2,68747d99590804fb4ee222ed72dea34ad4e25db553fc8005c357efa83e76cfb8,boolean,easy,False,False,0.0,0.0,1.0
S2,734931901ce2900c33d80c0b611d8fb37c457e25b6e0529e0d26f2dc97bc2c32,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,7710644a88fa1b4492a462d0527ca39733db6a1219ba05b957b9ea814ed0fe89,number,easy,False,False,0.0,0.0,1.0
S2,7bee2a70fcd7ecdd169ca34c3bc71d3950404ac3d54bc5b9442114b228b914fb,boolean,hard,False,True,1.0,0.0,0.0
S2,85f22f4a05069be55342520d29729115be22263a06ddd865e3b609baacad3029,date,easy,False,False,0.0,0.0,1.0
S2,88fa316b322107dabdbb5d642ae6296b968369e810eaf2da5759584dc560e9c0,boolean,easy,False,False,1.0,0.0,0.0
S2,8c8eeeeba7a6c1eace5f993e5fd5ee0eb331443fc937cff46c5da06698c7c0ef,name,easy,True,False,0.0,0.0,1.0
S2,9093940a7c2ff4a962020858d13c35be648aaf3b958b2beaee548d1ff0862a8b,boolean,easy,False,False,1.0,0.0,0.0
S2,99eee91b133b2896308860a303fc852fd48975969168cc17059af519d9db9ceb,boolean,medium,False,False,1.0,0.0,0.0
S2,9b979082c31ae4ad36f857eab9a6e3dbc1404128e7467f6ebc52687ba6e4bfc1,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,a51f259bf9869da02936142f36678193dd9e93988f339dc7ea2a21879d9d1870,number,hard,False,True,0.0,0.0,1.0
S2,a73a4fa484db325f96c907f5763845cef3cb9cde1b5b201ddecc34ba8d4738e1,name,medium,False,False,0.0,0.0,1.0
S2,ab613bfda1fe56340fafa1adda8f9d70a5bda4aed58fd521d5069c74c8c0f8da,name,easy,False,False,0.0,0.0,1.0
S2,ae3b2d0d754b0ed6345e6b1ecfb795011a0186a157942b5e3c8a8da6474b34f5,name,easy,False,False,0.0,0.0,1.0
S2,afe73d351c5b5f5bdfc97cd7b456d60962a46f2d0eea6f46e7782e984165c03d,name,easy,False,False,0.0,0.0,1.0
S2,b1eb96688844a90f3e9e8ff9ef992d06eae3a6766d9259e961608e561403def6,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,bd861029417eaa91fb3a4b5fe64189b8c6133fc9a8d9231c1ab8537749fb58cd,boolean,medium,False,False,1.0,0.0,0.0
S2,bf7e0ebf84229c956c1154a4d1386ed4b887fc9fc8191ef518ece6c115d182db,free_text,easy,False,False,0.5333333333333333,0.11547005383792512,1.0
S2,c2d4d742dbc859eb1f262b53a315124fd1a063752794cf81aa9ca4e4862ab6b6,boolean,medium,True,False,0.0,0.0,1.0
S2,c5c7eddacc461ebbf67e6b1dff474512ccdf8bd1ef8ddf88a305fd961330b26e,free_text,medium,False,False,0.4000000000000001,0.0,1.0
S2,c8bd14fd89c211485a2181de90704867a936e5c094247bf7fed909e6db36528f,date,easy,False,False,0.0,0.0,1.0
S2,d0fa21fb6d676b69e9cddd85cd137c298c43172d50a15aa66badd51ca3a0a8eb,number,easy,False,False,1.0,0.0,0.0
S2,d6ad26d8bc7b0c6450666032169cb2e69554283c92c216acef0ce5b8edd5d0e3,boolean,easy,False,False,1.0,0.0,0.0
S2,d859a045e515e7290174ed1aced15d8527b85f0e4c569d4630dfa521f528d79c,names,hard,False,True,0.0,0.0,1.0
S2,dbb3c7a752d90dc1d9b3bae020014a71c1acaab22b856be728834dfa1cc47726,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,df1e3124c44330d699ce9a1c01d670a0691158455b57156a948ce044980dbf44,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,e0ba7275a0c7a10725681d4c15c6c5045e5b3ac9f76d168d5568084bddbc5759,number,easy,False,False,0.0,0.0,1.0
S2,e1f33d725fd31d285e8c38588e2894cd6c583bf806d53cf816f467bc68ad55c9,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2,e821a2bc1919a828d26dbef0ae9c234e8cecce49c9ded70e6193a56837d37f54,name,easy,False,False,0.0,0.0,1.0
S2,ec695ce27695363186cb118ca3fa723c66869c6f9dbc834950c33562d67c3eec,free_text,easy,False,False,0.20000000000000004,0.0,1.0
S2,f2366d2d2cc2a2dab585b0c6681b04fcb1af8b46422c4fbe6a9126ae56c6fe8a,date,easy,False,False,0.0,0.0,1.0
S2+R,00957d62e7648173d04346496df2306addcc8e2842fabcd44244c466f4189b9f,number,easy,False,False,1.0,0.0,0.0
S2+R,07b32c626efd2cf7b1689f3a339d5bee4e0feb575126b511a88c0852edaf32c5,free_text,hard,False,True,0.06666666666666667,0.11547005383792516,1.0
S2+R,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,name,hard,True,False,0.0,0.0,1.0
S2+R,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,number,easy,False,False,0.0,0.0,1.0
S2+R,1207dcc85ca96d11158351ead9ffc5260f053375fd4b18cfdb81b5e9c6d2bb61,boolean,hard,False,True,1.0,0.0,0.0
S2+R,17bfa386a1f22d295d3ee717aae19a749af280616a875eade14b102a23dd9244,boolean,hard,False,True,0.6666666666666666,0.5773502691896258,0.3333333333333333
S2+R,1b67d805e6c51673736ef61f9ec1c390fdd4f2706d48a360e380110d720c0339,name,easy,False,False,0.0,0.0,1.0
S2+R,1ce38b389439bacc237e4716d1e238b03b9c1f6e5c36bb1443d5590d0d87e52e,free_text,medium,False,False,0.39999999999999997,0.34641016151377546,1.0
S2+R,1d356814de25d5623275b9b1de2113fcebf2002ff4199294cdaaf10641257242,free_text,medium,False,False,1.0,0.0,0.0
S2+R,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,date,easy,False,False,0.0,0.0,1.0
S2+R,32868c181e4d6b0ba34eb6fc0817c70169f81619213ac77c689492d92414efaf,boolean,easy,False,False,1.0,0.0,0.0
S2+R,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,names,medium,False,False,0.0,0.0,1.0
S2+R,40d44b27dfc1a92be0df9d8909bdadeece97c7390798beebcbdca6fe87e88f35,names,easy,False,False,0.3333333333333333,0.0,1.0
S2+R,42d7232debc717df1e310885e921a6aaa06208907bc1da0c7d4c61ac4fd0098a,boolean,medium,False,False,1.0,0.0,0.0
S2+R,4e0cd66faaafc0395fd07654a3817c1f7f26fb6aed7f8cd88c0f493024692857,date,hard,False,True,1.0,0.0,0.0
S2+R,502a270a2eed204fdef12d658ff290cb38cc8747ab7ea950ea61c128176446ae,names,hard,False,True,0.0,0.0,1.0
S2+R,5877c6811eb496b26d3322a027b7d19f3d13f8623454f94c982b7e1d8c3e89ae,number,easy,False,False,1.0,0.0,0.0
S2+R,5d94b33f61bae17b9fc3bf1448b9a352a89cf879fd47cc423c385e5bd11942ed,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S2+R,64210e41fb4ea2bbe5f40ecd11ffd475652e3163261c32186c01b9073124e1d7,names,medium,False,False,0.47368421052631576,0.0455802844097073,1.0
S2+R,68747d99590804fb4ee222ed72dea34ad4e25db553fc8005c357efa83e76cfb8,boolean,easy,False,False,1.0,0.0,0.0
S2+R,734931901ce2900c33d80c0b611d8fb37c457e25b6e0529e0d26f2dc97bc2c32,free_text,medium,False,False,0.5333333333333333,0.3055050463303894,1.0
S2+R,7710644a88fa1b4492a462d0527ca39733db6a1219ba05b957b9ea814ed0fe89,number,easy,False,False,1.0,0.0,0.0
S2+R,7bee2a70fcd7ecdd169ca34c3bc71d3950404ac3d54bc5b9442114b228b914fb,boolean,hard,False,True,1.0,0.0,0.0
S2+R,85f22f4a05069be55342520d29729115be22263a06ddd865e3b609baacad3029,date,easy,False,False,0.0,0.0,1.0
S2+R,88fa316b322107dabdbb5d642ae6296b968369e810eaf2da5759584dc560e9c0,boolean,easy,False,False,1.0,0.0,0.0
S2+R,8c8eeeeba7a6c1eace5f993e5fd5ee0eb331443fc937cff46c5da06698c7c0ef,name,easy,True,False,1.0,0.0,0.0
S2+R,9093940a7c2ff4a962020858d13c35be648aaf3b958b2beaee548d1ff0862a8b,boolean,easy,False,False,1.0,0.0,0.0
S2+R,99eee91b133b2896308860a303fc852fd48975969168cc17059af519d9db9ceb,boolean,medium,False,False,1.0,0.0,0.0
S2+R,9b979082c31ae4ad36f857eab9a6e3dbc1404128e7467f6ebc52687ba6e4bfc1,free_text,medium,False,False,1.0,0.0,0.0
S2+R,a51f259bf9869da02936142f36678193dd9e93988f339dc7ea2a21879d9d1870,number,hard,False,True,0.0,0.0,1.0
S2+R,a73a4fa484db325f96c907f5763845cef3cb9cde1b5b201ddecc34ba8d4738e1,name,medium,False,False,0.0,0.0,1.0
S2+R,ab613bfda1fe56340fafa1adda8f9d70a5bda4aed58fd521d5069c74c8c0f8da,name,easy,False,False,1.0,0.0,0.0
S2+R,ae3b2d0d754b0ed6345e6b1ecfb795011a0186a157942b5e3c8a8da6474b34f5,name,easy,False,False,1.0,0.0,0.0
S2+R,afe73d351c5b5f5bdfc97cd7b456d60962a46f2d0eea6f46e7782e984165c03d,name,easy,False,False,1.0,0.0,0.0
S2+R,b1eb96688844a90f3e9e8ff9ef992d06eae3a6766d9259e961608e561403def6,free_text,medium,False,False,0.8000000000000002,0.0,1.0
S2+R,bd861029417eaa91fb3a4b5fe64189b8c6133fc9a8d9231c1ab8537749fb58cd,boolean,medium,False,False,1.0,0.0,0.0
S2+R,bf7e0ebf84229c956c1154a4d1386ed4b887fc9fc8191ef518ece6c115d182db,free_text,easy,False,False,1.0,0.0,0.0
S2+R,c2d4d742dbc859eb1f262b53a315124fd1a063752794cf81aa9ca4e4862ab6b6,boolean,medium,True,False,0.0,0.0,1.0
S2+R,c5c7eddacc461ebbf67e6b1dff474512ccdf8bd1ef8ddf88a305fd961330b26e,free_text,medium,False,False,1.0,0.0,0.0
S2+R,c8bd14fd89c211485a2181de90704867a936e5c094247bf7fed909e6db36528f,date,easy,False,False,0.0,0.0,1.0
S2+R,d0fa21fb6d676b69e9cddd85cd137c298c43172d50a15aa66badd51ca3a0a8eb,number,easy,False,False,1.0,0.0,0.0
S2+R,d6ad26d8bc7b0c6450666032169cb2e69554283c92c216acef0ce5b8edd5d0e3,boolean,easy,False,False,1.0,0.0,0.0
S2+R,d859a045e515e7290174ed1aced15d8527b85f0e4c569d4630dfa521f528d79c,names,hard,False,True,0.5,0.0,1.0
S2+R,dbb3c7a752d90dc1d9b3bae020014a71c1acaab22b856be728834dfa1cc47726,free_text,medium,False,False,0.4000000000000001,0.0,1.0
S2+R,df1e3124c44330d699ce9a1c01d670a0691158455b57156a948ce044980dbf44,free_text,medium,False,False,1.0,0.0,0.0
S2+R,e0ba7275a0c7a10725681d4c15c6c5045e5b3ac9f76d168d5568084bddbc5759,number,easy,False,False,1.0,0.0,0.0
S2+R,e1f33d725fd31d285e8c38588e2894cd6c583bf806d53cf816f467bc68ad55c9,free_text,medium,False,False,0.9333333333333332,0.11547005383792512,0.3333333333333333
S2+R,e821a2bc1919a828d26dbef0ae9c234e8cecce49c9ded70e6193a56837d37f54,name,easy,False,False,1.0,0.0,0.0
S2+R,ec695ce27695363186cb118ca3fa723c66869c6f9dbc834950c33562d67c3eec,free_text,easy,False,False,1.0,0.0,0.0
S2+R,f2366d2d2cc2a2dab585b0c6681b04fcb1af8b46422c4fbe6a9126ae56c6fe8a,date,easy,False,False,1.0,0.0,0.0
S3,00957d62e7648173d04346496df2306addcc8e2842fabcd44244c466f4189b9f,number,easy,False,False,0.0,0.0,1.0
S3,07b32c626efd2cf7b1689f3a339d5bee4e0feb575126b511a88c0852edaf32c5,free_text,hard,False,True,0.4000000000000001,0.0,1.0
S3,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,name,hard,True,False,0.0,0.0,1.0
S3,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,number,easy,False,False,0.0,0.0,1.0
S3,1207dcc85ca96d11158351ead9ffc5260f053375fd4b18cfdb81b5e9c6d2bb61,boolean,hard,False,True,0.0,0.0,1.0
S3,17bfa386a1f22d295d3ee717aae19a749af280616a875eade14b102a23dd9244,boolean,hard,False,True,0.0,0.0,1.0
S3,1b67d805e6c51673736ef61f9ec1c390fdd4f2706d48a360e380110d720c0339,name,easy,False,False,0.0,0.0,1.0
S3,1ce38b389439bacc237e4716d1e238b03b9c1f6e5c36bb1443d5590d0d87e52e,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S3,1d356814de25d5623275b9b1de2113fcebf2002ff4199294cdaaf10641257242,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S3,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,date,easy,False,False,0.0,0.0,1.0
S3,32868c181e4d6b0ba34eb6fc0817c70169f81619213ac77c689492d92414efaf,boolean,easy,False,False,1.0,0.0,0.0
S3,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,names,medium,False,False,0.0,0.0,1.0
S3,40d44b27dfc1a92be0df9d8909bdadeece97c7390798beebcbdca6fe87e88f35,names,easy,False,False,0.0,0.0,1.0
S3,42d7232debc717df1e310885e921a6aaa06208907bc1da0c7d4c61ac4fd0098a,boolean,medium,False,False,0.0,0.0,1.0
S3,4e0cd66faaafc0395fd07654a3817c1f7f26fb6aed7f8cd88c0f493024692857,date,hard,False,True,0.0,0.0,1.0
S3,502a270a2eed204fdef12d658ff290cb38cc8747ab7ea950ea61c128176446ae,names,hard,False,True,0.0,0.0,1.0
S3,5877c6811eb496b26d3322a027b7d19f3d13f8623454f94c982b7e1d8c3e89ae,number,easy,False,False,0.0,0.0,1.0
S3,5d94b33f61bae17b9fc3bf1448b9a352a89cf879fd47cc423c385e5bd11942ed,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S3,64210e41fb4ea2bbe5f40ecd11ffd475652e3163261c32186c01b9073124e1d7,names,medium,False,False,0.0,0.0,1.0
S3,68747d99590804fb4ee222ed72dea34ad4e25db553fc8005c357efa83e76cfb8,boolean,easy,False,False,1.0,0.0,0.0
S3,734931901ce2900c33d80c0b611d8fb37c457e25b6e0529e0d26f2dc97bc2c32,free_text,medium,False,False,0.20000000000000004,0.0,1.0
S3,7710644a88fa1b4492a462d0527ca39733db6a1219ba05b957b9ea814ed0fe89,number,easy,False,False,0.0,0.0,1.0
S3,7bee2a70fcd7ecdd169ca34c3bc71d3950404ac3d54bc5b9442114b228b914fb,boolean,hard,False,True,0.0,0.0,1.0
S3,85f22f4a05069be55342520d29729115be22263a06ddd865e3b609baacad3029,date,easy,False,False,0.0,0.0,1.0
S3,88fa316b322107dabdbb5d642ae6296b968369e810eaf2da5759584dc560e9c0,boolean,easy,False,False,0.0,0.0,1.0
S3,8c8eeeeba7a6c1eace5f993e5fd5ee0eb331443fc937cff46c5da06698c7c0ef,name,easy,True,False,1.0,0.0,0.0
S3,9093940a7c2ff4a962020858d13c35be648aaf3b958b2beaee548d1ff0862a8b,boolean,easy,False,False,0.0,0.0,1.0
S3,99eee91b133b2896308860a303fc852fd48975969168cc17059af519d9db9ceb,boolean,medium,False,False,1.0,0.0,0.0
S3,9b979082c31ae4ad36f857eab9a6e3dbc1404128e7467f6ebc52687ba6e4bfc1,free_text,medium,False,False,0.06666666666666667,0.11547005383792516,1.0
S3,a51f259bf9869da02936142f36678193dd9e93988f339dc7ea2a21879d9d1870,number,hard,False,True,0.0,0.0,1.0
S3,a73a4fa484db325f96c907f5763845cef3cb9cde1b5b201ddecc34ba8d4738e1,name,medium,False,False,0.0,0.0,1.0
S3,ab613bfda1fe56340fafa1adda8f9d70a5bda4aed58fd521d5069c74c8c0f8da,name,easy,False,False,0.0,0.0,1.0
S3,ae3b2d0d754b0ed6345e6b1ecfb795011a0186a157942b5e3c8a8da6474b34f5,name,easy,False,False,0.0,0.0,1.0
S3,afe73d351c5b5f5bdfc97cd7b456d60962a46f2d0eea6f46e7782e984165c03d,name,easy,False,False,0.0,0.0,1.0
S3,b1eb96688844a90f3e9e8ff9ef992d06eae3a6766d9259e961608e561403def6,free_text,medium,False,False,0.20000000000000004,0.0,1.0
